text,label
The meeting went really well.,1
It’s already been submitted.,1
I wasn’t sure how to respond when,0
"The thing is, I haven’t really",0
I'll check on that right away.,1
I told them it wouldn’t be a,0
"After I logged in, the screen just",0
Unless someone else wants to,0
"When I got the email, I was",0
He confirmed the appointment.,1
Everyone was happy with the outcome.,1
"I’m heading out now, see you soon.",1
This is what we agreed on.,1
Let’s wait until they,0
It’s scheduled for next Thursday.,1
We could probably try again if the,0
"By the time I noticed, it was already",0
"Once the results come in, we’ll",0
We talked about this last week.,1
This is exactly what we needed.,1
I’ve already signed the form.,1
It should be done by Friday.,1
He’s already on his way.,1
The results were better than expected.,1
We should try again once we,0
We could start earlier if there’s no,0
I think they were trying to,0
It's already been taken care of.,1
I’ll be online around three.,1
"When we get the confirmation, we’ll",0
He’ll send the report tonight.,1
Just a minute ago I thought I,0
"Before she arrived, we were going to",0
She told me they were going to,0
Thanks for bringing that up.,1
We need to update the chart after we,0
Let me just grab my laptop.,1
You know how sometimes they just,0
He asked me if I had a,0
I’ll have to reschedule because,0
He thought it might be useful to,0
She gave me a look like she,0
I talked to her about it but she,0
Let’s meet at the usual spot.,1
Just let me know the deadline.,1
"I guess we could, but only if",0
"If I had known earlier, I would’ve",0
Let me know what you decide.,1
"Before we decide, we should probably",0
They haven’t said whether they,0
"In case you’re wondering, I",0
I was planning to finish it but,0
It’s probably too late to,0
Let’s continue this tomorrow.,1
I'm not sure what time he,0
I was going to mention that if we,0
I think it’s worth exploring.,1
"Even if I wanted to, I couldn’t",0
It depends on whether they want to,0
I sent the document yesterday.,1
The presentation is almost done.,1
We’re going to launch next month.,1
That’s what I planned to do.,1
Thanks again for your help.,1
"After we’re done with the call, we could",0
It looks like we might need to rethink,0
Not unless you really think we,0
That's exactly what I was thinking.,1
We’ll wrap this up by noon.,1
They said yes to the proposal.,1
Don’t forget to send me the,0
We should get started after lunch.,1
"I got your message, thanks.",1
I’ll talk to you soon.,1
Let me double-check before I,0
I’m glad we talked this through.,1
Could you let me know where the,0
Everything looks good on my end.,1
She's going to join us later.,1
They’ll take care of it.,1
We’re supposed to hear back from,0
I'll be there in 15 minutes.,1
We finalized the details earlier.,1
I think he said it was under the,0
I’ve updated the spreadsheet.,1
Nothing else is pending right now.,1
The main thing to keep in mind is,0
Can you ask her when she,0
You should’ve seen the way he,0
"That reminds me, did you ever",0
"If you see him, tell him that",0
"Yes, it’s all in the folder.",1
The issue might be with the way we,0
Sounds like a good plan.,1
You can pick it up tomorrow.,1
That’s all I needed from you.,1
"Depending on how that goes, we can",0
We’ve got everything we need.,1
They might change it depending on what,0
We can start whenever you’re ready.,1
This seems ready for review.,1
I'll take care of the details.,1
I copied you on that email.,1
I don’t think he realized that,0
"Unless someone objects, we’ll",0
"Depending on how things go later, we could",0
I'll join the call in 5 minutes.,1
"Unless it’s urgent, I wouldn’t",0
Let’s move this to next week’s agenda.,1
They’ll probably do it once they,0
I was meaning to bring this up during the,0
I’ll be available until six.,1
They were happy with the proposal.,1
He sent it but forgot to include the,0
No changes are needed at this point.,1
We’ll finish the rest tomorrow.,1
They might change the date if they,0
Let’s see what she says before we,0
It’s already uploaded to the folder.,1
They might still be waiting for the,0
Just emailed it to you.,1
I'll upload the rest shortly.,1
We’re assuming the issue is with the,0
They agreed on the new schedule.,1
There’s a chance we might have to,0
You mentioned a plan but didn’t,0
We finalized the draft just now.,1
She had a suggestion about the,0
He never responded to the,0
I was wondering if we should maybe,0
He already gave his feedback.,1
"When I last checked, it still",0
Could you remind me where we,0
He told me it would probably,0
He was talking about the plan and then he,0
The deadline is still the same.,1
We didn’t plan for the possibility that,0
"Before we begin, I just want to",0
He will explain it during the meeting.,1
I think we’ve covered everything.,1
Let me circle back after I,0
That’s what I thought until I,0
The server crashed right after we,0
It was working earlier but now it,0
Everything's going according to plan.,1
We’ve made good progress today.,1
We didn’t hear back after we,0
This version looks cleaner.,1
We’ll follow up once we get the,0
"Once we’re back online, we can",0
"If she agrees, we can",0
I already checked the document.,1
I’ll start writing the report.,1
I asked him to send it but he,0
You might want to double-check the,0
That sounds like a fair approach.,1
Let's finalize the design by tomorrow.,1
She shared the link with everyone.,1
There’s a possibility we’ll need to,0
You can review it anytime.,1
Please approve it when you can.,1
That’s why I think we should,0
She's on her way to the office.,1
She added it to the calendar.,1
"Yes, let’s move forward with that.",1
Let’s decide after we review the,0
"Yes, that makes perfect sense.",1
I’ve been meaning to ask you if you,0
I guess we can talk about it when we,0
I’ll let you know if anything changes.,1
Let me check and get back to you.,1
We can take a short break now.,1
It's been added to the list.,1
I’ll try to finish it after I,0
I'll take the notes during the meeting.,1
He joined a few minutes ago.,1
Everything’s working fine now.,1
Let me know if you need help with that.,1
You could tell they weren’t ready to,0
There’s something I forgot to,0
Please send me the updated version.,1
We have to reschedule because the,0
We should hear back by Friday.,1
I wasn’t expecting that we’d need to,0
I couldn’t figure out how to fix the,0
They started but didn’t finish the,0
It’s been approved by the team.,1
She didn’t mention anything about the,0
It’s showing up correctly now.,1
"That’s all I needed, thanks.",1
We’re done for today.,1
"Before she left, she said that",0
You can go ahead and start.,1
They haven’t replied since they,0
We can skip it unless someone,0
They were supposed to let us know but,0
We might have to adjust if they,0
Let’s call it a day then.,1
"Thanks, that answers my question.",1
We can close this ticket now.,1
I was going to finish that later but,0
"Before we wrap up, I wanted to",0
Just confirmed the schedule.,1
Nothing else is needed from my end.,1
I think we were supposed to,0
You’ll need to verify it before you,0
I couldn’t log in because the,0
We didn’t have time to review the,0
He completed the update yesterday.,1
Shouldn’t be a problem unless we,0
If she doesn’t respond by tomorrow,0
There’s something off about the way it,0
Everything seems to be working.,1
She didn’t give any details about the,0
The team gave the green light.,1
I’m pretty sure it’s related to the,0
"After talking to him, I thought we",0
It looks like it passed all checks.,1
Everything is in place now.,1
Might be easier if we just,0
They said they’d let us know but,0
"Unless we hear otherwise, we’ll",0
Everything's synced and ready.,1
Let’s finalize it this afternoon.,1
He almost finished it but then he,0
We couldn’t figure out how to,0
Thanks for confirming that.,1
I’ve added it to the plan.,1
You might want to check with the,0
That wraps up our discussion.,1
The notes are clear and helpful.,1
I’ll take care of that after I,0
Just let me know what’s next.,1
All set from my side.,1
Let’s see if it changes once we,0
Let me ask him if he can,0
"Looks good, thanks for the update.",1
I wasn’t aware that they,0
Let’s go with this version.,1
It’s showing correctly on my screen.,1
I’m done with my part.,1
It was supposed to be included in the,0
I’d like to revisit that after we,0
"This looks great, nice work.",1
We could consider that option if the,0
We were waiting on the confirmation from,0
They approved the changes quickly.,1
It’s still waiting for the final,0
We can finalize this by Monday.,1
I was just about to reach out and,0
She was going to show us how to,0
You might not have access to the,0
I’ve added the changes you requested.,1
They’ve agreed to the new terms.,1
You did a fantastic job here.,1
"Yes, I’ve already updated that.",1
Just need to double-check the,0
This approach makes a lot of sense.,1
This should work just fine.,1
They’ll follow up after they,0
That solves the problem we had.,1
Let’s wait a bit longer before we,0
The update was successful.,1
We can skip it unless they,0
He might still be reviewing the,0
"If it doesn’t work, we can always",0
We’ve completed the final review.,1
She mentioned it briefly during the,0
They’ve already started working on the,0
She joined the call just now.,1
He reviewed it yesterday.,1
This matches the requirements perfectly.,1
We’re missing the details from the,0
Could be useful if we also,0
He’ll tell us more when he,0
We were thinking about switching to a,0
He didn’t explain what he meant by,0
We're aligned on this now.,1
She's already working on it.,1
I'll mark it as complete.,1
"If that’s the case, then maybe we",0
I've forwarded it to the team.,1
You should see it once you,0
We're good to go.,1
There’s no way to know until we,0
"Once we hear back, we can",0
We’ll review it again tomorrow.,1
We can archive it now.,1
I think we’ve resolved the issue.,1
We didn’t check the status of the,0
He submitted the form this morning.,1
I think we're ready to proceed.,1
He explained everything clearly.,1
Let me close this ticket now.,1
They’ve signed off on it.,1
The issue was supposed to be resolved by,0
That version was more accurate.,1
