text,label
They agreed to move forward,1
We finalized the handoff,1
Let’s revisit the timeline once we,0
You might want to add a note for the,0
I’ve scheduled our next check-in,1
All tasks have been completed,1
"If it happens again, we may need to",0
We deployed it last week,1
The issue was marked as resolved,1
That information is missing from the,0
The message didn’t go through because,0
The notes were added yesterday,1
I completed the onboarding steps,1
Let’s try again once the system,0
I’ve sent the latest numbers,1
I haven’t completed the section on,0
It’s possible they’ll want to revisit the,0
She tried to explain but then,0
We still need to write the summary for,0
Let’s hold off until the next,0
The links were updated yesterday,1
He mentioned a fix but didn’t share the,0
It’s safe to remove the flag,1
I shared the document with the team,1
We received sign-off from the client,1
She handled the last update,1
The fix was deployed overnight,1
You can’t finish that until we’ve,0
She was preparing it but,0
We haven’t included the backup for the,0
That change is now live,1
You should receive the confirmation shortly,1
We completed the setup process,1
"They were expecting it earlier, but",0
I tried logging in but the,0
The project has been archived,1
We have no pending issues,1
Let’s double-check the figures before we,0
We never got the final copy of the,0
The meeting went as planned,1
That would depend on how they,0
We ran into issues while importing the,0
We didn’t document the steps we,0
We haven’t gotten approval for the,0
It’s ready for internal review,1
They were unclear about the last,0
It was strange that we didn’t get the,0
We wrapped it up just now,1
We’ve approved the final version,1
They asked for clarification on the,0
"If the results are wrong, we’ll",0
They’re still waiting to hear back from,0
She said she’d follow up after,0
That wasn’t covered in today’s,0
We weren’t expecting them to change the,0
We’re in the clear now,1
The final graph is missing from the,0
They reviewed the issue already,1
She didn’t give an update on the,0
He signed off on the decision,1
They haven’t updated the spreadsheet with the,0
They finalized the integration yesterday,1
Let’s close this phase today,1
I wasn’t able to complete the,0
She emailed the updated contract,1
He didn’t complete the final step of the,0
She confirmed receipt of the package,1
They were still reviewing the file when,0
He wrapped up his portion,1
The confirmation was sent out,1
Everything looks great now,1
I was going to send it but,0
He replied to my message,1
He uploaded the files this morning,1
That aligns with the requirements,1
They were unable to access the,0
It was submitted ahead of time,1
The edits weren’t included in the,0
We included all corrections,1
He submitted the form last night,1
I didn’t see the notification for the,0
I thought we’d resolved the,0
I saved it but didn’t email the,0
We paused the discussion when,0
We need to ask her about the missing,0
He stopped midway through the,0
This task was closed successfully,1
He paused before explaining the,0
She added her comments already,1
Everything was saved correctly,1
The summary has been written,1
We went through all action items,1
It’s confirmed in the document,1
She logged the changes,1
Let’s proceed to the next item,1
They haven’t responded about the,0
Everything is now up to date,1
The notes were very helpful,1
That wasn’t covered in the previous,0
She logged out before completing the,0
The code passed all the tests,1
She didn’t follow up after the,0
There wasn’t enough data in the,0
We’ll circle back once we have the,0
It crashed before I could save the,0
I submitted the revision last night,1
We expected a different result when we,0
She uploaded the signed file,1
He finished the onboarding process,1
They submitted the report on time,1
The form didn’t include the section for,0
I couldn’t upload the file because of the,0
That wasn’t included in the plan for the,0
I reviewed the plan and approved it,1
We captured the key metrics,1
She completed her assignment,1
That wraps up the discussion,1
You may need to contact support if the,0
The documentation looks good,1
I didn’t complete the last step in the,0
No open tickets remain,1
The budget was approved yesterday,1
Let’s postpone that until we check with,0
He mentioned there was an issue with,0
He noted something was off in the,0
He was preparing a summary when,0
There’s a chance they’ll delay the,0
We didn’t finish reviewing the,0
It’s been published and reviewed,1
We were hoping to finish it during the,0
She didn’t attach the correct,0
The new draft looks solid,1
We might need to wait for the next,0
The announcement was made earlier,1
The project is officially done,1
They’ve paused the campaign until the,0
We finalized the configuration,1
The document wasn’t updated with the,0
We closed the issue yesterday,1
All pending tasks are now closed,1
That email bounced due to an issue with,0
The template has been shared,1
She was going to finalize it but,0
The results were shared internally,1
The meeting invite has been sent,1
It’s unclear what’s missing from the,0
We need to schedule time with the,0
We reached the target ahead of schedule,1
I forgot to mention the changes to the,0
They told us to wait for the,0
We aligned with their expectations,1
The link broke when I tried to open the,0
The update was shared with all,1
We confirmed the final figures,1
We’ll go ahead as planned,1
You should now have access,1
We had to skip the review due to the,0
She didn’t send the follow-up to the,0
The response was received on time,1
We uploaded the revised document,1
We lost progress after the system,0
It’s already reflected in the system,1
We never received a reply about the,0
Everything has been merged,1
She got disconnected while presenting the,0
I’ve added the final touch,1
All notes have been documented,1
The logs were updated properly,1
She completed her training last week,1
They finalized the presentation,1
The file has been archived,1
He’s waiting to hear back from,0
I lost the file when I tried to,0
I saw the alert but didn’t understand the,0
The system didn’t recognize the new,0
The handover was completed yesterday,1
Everything is set for the launch,1
The decision was unanimous,1
That was the last open issue,1
They confirmed their availability,1
We’ll complete the update after the,0
She confirmed the timeline today,1
The team hasn’t signed off on the,0
He completed the checklist,1
We reached the goal successfully,1
It’s now part of the final release,1
They were about to send the,0
They paused the rollout because of the,0
They didn’t explain what happened to the,0
You’ll find the note once you open the,0
I meant to update it after the,0
That version was reviewed,1
The file name was incorrect in the,0
Let’s revisit that after we speak to the,0
Let’s mark this as resolved,1
The team was confused about the,0
They didn’t answer the question about,0
They’ve completed their review,1
